wave,posterior,var,xwaveid
2,0.1549,lssupnh,0100674
3,0.1956,lssupnh,0100674
4,0.1702,lssupnh,0100674
5,0.1281,lssupnh,0100674
6,0.3236,lssupnh,0100674
7,0,lssupnh,0100674
8,0,lssupnh,0100674
-6,0,lssupvl,0100674
-5,0,lssupvl,0100674
-4,0,lssupvl,0100674
-3,0.0425,lssupvl,0100674
-2,0.0507,lssupvl,0100674
-1,0.0444,lssupvl,0100674
0,0.1151,lssupvl,0100674
1,0.065,lssupvl,0100674
2,0.0577,lssupvl,0100674
3,0.0559,lssupvl,0100674
4,0.0409,lssupvl,0100674
5,0.0535,lssupvl,0100674
6,0.0578,lssupvl,0100674
7,0,lssupvl,0100674
8,0,lssupvl,0100674
-6,0,ghmh,0100721
-5,0,ghmh,0100721
-4,0,ghmh,0100721
-3,0.0131,ghmh,0100721
-2,0.0131,ghmh,0100721
-1,0.0176,ghmh,0100721
0,0.0329,ghmh,0100721
1,0.0254,ghmh,0100721
2,0.0077,ghmh,0100721
3,0.0094,ghmh,0100721
4,0.0063,ghmh,0100721
5,0.0248,ghmh,0100721
6,0.0152,ghmh,0100721
7,0,ghmh,0100721
8,0,ghmh,0100721
-6,0,losat,0100721
-5,0,losat,0100721
-4,0,losat,0100721
-3,0.0149,losat,0100721
-2,0.0129,losat,0100721
-1,0.0175,losat,0100721
0,0.0139,losat,0100721
1,0.0121,losat,0100721
2,0.0089,losat,0100721
3,0.0162,losat,0100721
4,0.0098,losat,0100721
5,0.0143,losat,0100721
6,0.0182,losat,0100721
7,0,losat,0100721
8,0,losat,0100721
-6,0,losateo,0100721
-5,0,losateo,0100721
-4,0,losateo,0100721
-3,0.0287,losateo,0100721
-2,0.0188,losateo,0100721
-1,0.0224,losateo,0100721
0,0.0248,losateo,0100721
1,0.016,losateo,0100721
2,0.0171,losateo,0100721
3,0.0175,losateo,0100721
4,0.0232,losateo,0100721
5,0.0229,losateo,0100721
6,0.0246,losateo,0100721
7,0,losateo,0100721
8,0,losateo,0100721
-6,0,losatfs,0100721
-5,0,losatfs,0100721
-4,0,losatfs,0100721
-3,0.0489,losatfs,0100721
-2,0.0152,losatfs,0100721
-1,0.0122,losatfs,0100721
0,0.031,losatfs,0100721
1,0.017,losatfs,0100721
2,0.0156,losatfs,0100721
3,0.0099,losatfs,0100721
4,0.0086,losatfs,0100721
5,0.0115,losatfs,0100721
6,0.0129,losatfs,0100721
7,0,losatfs,0100721
8,0,losatfs,0100721
-6,0,losatft,0100721
-5,0,losatft,0100721
-4,0,losatft,0100721
-3,0.0726,losatft,0100721
-2,0.0828,losatft,0100721
-1,0.0579,losatft,0100721
0,0.045,losatft,0100721
1,0.0819,losatft,0100721
2,0.05,losatft,0100721
3,0.0515,losatft,0100721
4,0.0586,losatft,0100721
5,0.053900000000000003,losatft,0100721
6,0.0733,losatft,0100721
7,0,losatft,0100721
8,0,losatft,0100721
